measured_N,matched_N,rel_err_%
3.322958984375000000e+02,3.393304443359375000e+02,2.116952180862426758e+00
3.191337890625000000e+02,3.109578857421875000e+02,2.561904668807983398e+00
3.001702575683593750e+02,3.023688964843750000e+02,7.324638962745666504e-01
2.846286621093750000e+02,2.787176208496093750e+02,2.076755523681640625e+00
2.676473999023437500e+02,2.660659484863281250e+02,5.908712148666381836e-01
2.466896057128906250e+02,2.372705688476562500e+02,3.818173408508300781e+00
2.256673736572265625e+02,2.230878906250000000e+02,1.143046498298645020e+00
2.088234710693359375e+02,2.064074707031250000e+02,1.156958341598510742e+00
1.859098358154296875e+02,1.806274261474609375e+02,2.841382741928100586e+00
1.571202239990234375e+02,1.504890594482421875e+02,4.220439910888671875e+00
